Primaries 
AR-23 Liberator
AR-23P Liberator Penetrator
AR-23C Liberator Concussive
AR-23A Liberator Carbine
AR-32 Pacifier
AR-61 Tenderizer
BR-14 Adjudicator
StA-52 Assault Rifle
R-2 Amendment
R-6 Deadeye
R-36 Eruptor
R-63 Diligence
R-63CS Diligence Counter Sniper
R-2124 Constitution
MP-98 Knight
SMG-32 Reprimand
SMG-37 Defender
SMG-72 Pummler
StA-11 SMG
SG-8 Punisher
SG-8S Slugger
SG-8P Punisher Plasma
SG-20 Halt
SG-451 Cookout
SG-225 Breaker
SG-225IE Breaker Incendiary
SG-225SP Breaker Spray&Pray
CB-9 Exploding Crossbow
ARC-12 Blitzer
VG-70 Variable
PLAS-1 Scorcher
PLAS-101 Purifier
PLAS-39 Accelerator Rifle
LAS-5 Scythe
LAS-16 Sickle 
LAS-17 Double Edge Sickle
FLAM-66 Torcher
JAR-5 Dominator
